Attribute           	Outliers            
fixed acidity       	3                   
volatile acidity    	37                  
citric acid         	20                  
residual sugar      	0                   
chlorides           	55                  
free sulfur dioxide 	7                   
total sulfur dioxide	2                   
density             	2                   
pH                  	0                   
sulphates           	11                  
alcohol             	0                   
quality             	0                   

Outliers                                                    	Descriptive label   
8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,3  	[]                  
6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3    	[]                  
6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5       	[volatile acidity_Outlier]
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4            	[volatile acidity_Outlier]
7.7,0.49,1,19.6,0.03,28,135,0.9973,3.24,0.4,12,6            	[citric acid_Outlier]
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6      	[]                  
8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,6      	[chlorides_Outlier] 
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5        	[chlorides_Outlier] 
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,5       	[chlorides_Outlier] 
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6        	[chlorides_Outlier] 
7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5     	[citric acid_Outlier]
6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4       	[volatile acidity_Outlier]
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5     	[chlorides_Outlier] 
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5    	[free sulfur dioxide_Outlier]
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5      	[volatile acidity_Outlier]
6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3   	[free sulfur dioxide_Outlier]
7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,6        	[chlorides_Outlier] 
5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,6       	[chlorides_Outlier] 
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5       	[citric acid_Outlier]
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8       	[volatile acidity_Outlier]
5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7      	[]                  
6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5      	[volatile acidity_Outlier]
7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5     	[free sulfur dioxide_Outlier]
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6       	[chlorides_Outlier] 
6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,7      	[volatile acidity_Outlier]
9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6       	[volatile acidity_Outlier]
6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,6        	[chlorides_Outlier] 
6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6     	[chlorides_Outlier] 
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6         	[citric acid_Outlier]
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4           	[volatile acidity_Outlier]
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6      	[volatile acidity_Outlier]
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5      	[volatile acidity_Outlier]
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4      	[citric acid_Outlier]
6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4      	[volatile acidity_Outlier]
5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,4          	[volatile acidity_Outlier]
7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6          	[citric acid_Outlier]
6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,6      	[chlorides_Outlier] 
7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5       	[chlorides_Outlier] 
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5    	[volatile acidity_Outlier]
7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,3     	[free sulfur dioxide_Outlier]
4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6       	[volatile acidity_Outlier]
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6      	[]                  
7.5,0.4,1,19.5,0.041,33,148,0.9977,3.24,0.38,12,6           	[citric acid_Outlier]
6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8,6         	[chlorides_Outlier] 
6.7,0.61,0.21,1.65,0.117,40,240,0.9938,3.11,0.57,9.3,5      	[chlorides_Outlier] 
11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3     	[fixed acidity_Outlier]
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8     	[chlorides_Outlier] 
6.4,0.68,0.26,3.4,0.069,25,146,0.99347,3.18,0.4,9.3,5       	[volatile acidity_Outlier]
9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,3       	[free sulfur dioxide_Outlier]
5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5      	[volatile acidity_Outlier]
6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5        	[citric acid_Outlier]
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4       	[chlorides_Outlier] 
6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,6      	[volatile acidity_Outlier]
6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,7        	[chlorides_Outlier] 
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5         	[chlorides_Outlier] 
10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6       	[fixed acidity_Outlier]
6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4  	[free sulfur dioxide_Outlier]
10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4         	[volatile acidity_Outlier]
5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,7      	[]                  
7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4           	[chlorides_Outlier] 
4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5            	[volatile acidity_Outlier]
6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6,5         	[chlorides_Outlier] 
6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6      	[volatile acidity_Outlier]
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6       	[chlorides_Outlier] 
6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6       	[chlorides_Outlier] 
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5     	[citric acid_Outlier]
6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,5       	[chlorides_Outlier] 
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5       	[volatile acidity_Outlier]
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4      	[chlorides_Outlier] 
9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5        	[chlorides_Outlier] 
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5          	[chlorides_Outlier] 
