age	    sex          region       income
MIDDLE     FEMALE      INNER_CITY      17546
MIDDLE       MALE            TOWN    30085.1
   OLD     FEMALE      INNER_CITY    16575.4
 YOUNG     FEMALE            TOWN    20375.4
   OLD     FEMALE           RURAL    50576.3
   OLD     FEMALE            TOWN    37869.6
 YOUNG       MALE           RURAL    8877.07
   OLD       MALE            TOWN    24946.6
MIDDLE     FEMALE        SUBURBAN    25304.3
   OLD       MALE            TOWN    24212.1
   OLD     FEMALE            TOWN    59803.9
   OLD     FEMALE      INNER_CITY    26658.8
MIDDLE     FEMALE            TOWN    15735.8
   OLD     FEMALE            TOWN    55204.7
MIDDLE       MALE           RURAL    19474.6
MIDDLE     FEMALE      INNER_CITY    22342.1
MIDDLE     FEMALE            TOWN    17729.8
MIDDLE     FEMALE        SUBURBAN      41016
   OLD     FEMALE      INNER_CITY    26909.2
 YOUNG       MALE            TOWN    22522.8
   OLD       MALE      INNER_CITY    57880.7
MIDDLE       MALE            TOWN    16497.3
   OLD       MALE      INNER_CITY    38446.6
 YOUNG     FEMALE            TOWN    15538.8
 YOUNG       MALE      INNER_CITY    12640.3
   OLD       MALE      INNER_CITY      41034
MIDDLE       MALE      INNER_CITY    20809.7
MIDDLE     FEMALE            TOWN      20114
MIDDLE     FEMALE      INNER_CITY    29359.1
   OLD       MALE           RURAL    24270.1
   OLD     FEMALE           RURAL    22942.9
 YOUNG     FEMALE            TOWN    16325.8
MIDDLE       MALE        SUBURBAN    23443.2
 YOUNG     FEMALE      INNER_CITY    29921.3
MIDDLE       MALE        SUBURBAN    37521.9
 YOUNG     FEMALE      INNER_CITY      19868
 YOUNG       MALE           RURAL      10953
MIDDLE     FEMALE           RURAL      13381
MIDDLE     FEMALE            TOWN    18504.3
   OLD     FEMALE        SUBURBAN    25391.5
   OLD       MALE            TOWN    26774.2
MIDDLE     FEMALE      INNER_CITY    26952.6
   OLD       MALE            TOWN    55716.5
 YOUNG     FEMALE            TOWN    27571.5
 YOUNG       MALE      INNER_CITY      13740
   OLD       MALE      INNER_CITY    52670.6
MIDDLE     FEMALE      INNER_CITY    13283.9
 YOUNG       MALE      INNER_CITY    13106.6
   OLD       MALE      INNER_CITY    39547.8
MIDDLE     FEMALE           RURAL    17867.3
 YOUNG       MALE            TOWN    14309.7
MIDDLE       MALE            TOWN    23894.8
MIDDLE       MALE            TOWN    16259.7
MIDDLE       MALE        SUBURBAN    29794.1
   OLD       MALE            TOWN    56842.5
   OLD     FEMALE           RURAL    47835.8
   OLD     FEMALE      INNER_CITY    24977.5
 YOUNG       MALE      INNER_CITY    23124.9
 YOUNG     FEMALE      INNER_CITY    15143.8
 YOUNG       MALE      INNER_CITY    25334.3
MIDDLE     FEMALE      INNER_CITY    24763.3
   OLD     FEMALE      INNER_CITY      36589
MIDDLE       MALE      INNER_CITY    27022.6
 YOUNG       MALE      INNER_CITY    11700.4
 YOUNG       MALE            TOWN    5014.21
MIDDLE       MALE      INNER_CITY    17390.1
 YOUNG       MALE            TOWN      10861
MIDDLE     FEMALE            TOWN    34892.9
 YOUNG       MALE            TOWN    19403.1
 YOUNG     FEMALE           RURAL    10441.9
 YOUNG       MALE      INNER_CITY    14064.9
 YOUNG       MALE      INNER_CITY    8062.73
MIDDLE       MALE      INNER_CITY      31982
   OLD     FEMALE      INNER_CITY    23197.5
   OLD     FEMALE      INNER_CITY      52674
   OLD     FEMALE           RURAL    35610.5
MIDDLE     FEMALE            TOWN      26948
   OLD       MALE      INNER_CITY    49456.7
 YOUNG     FEMALE      INNER_CITY    14724.5
   OLD     FEMALE            TOWN    34524.9
MIDDLE     FEMALE            TOWN    22052.1
 YOUNG       MALE      INNER_CITY    27808.1
 YOUNG     FEMALE      INNER_CITY    12591.4
MIDDLE       MALE      INNER_CITY    16394.4
   OLD       MALE      INNER_CITY    24026.1
MIDDLE       MALE      INNER_CITY    31683.1
 YOUNG     FEMALE      INNER_CITY      15525
   OLD     FEMALE            TOWN    22562.2
 YOUNG       MALE        SUBURBAN    15848.7
   OLD     FEMALE      INNER_CITY    31095.6
MIDDLE       MALE            TOWN    24814.5
 YOUNG     FEMALE      INNER_CITY    25429.3
   OLD     FEMALE           RURAL    34866.5
   OLD       MALE      INNER_CITY    42579.1
   OLD     FEMALE      INNER_CITY    41127.4
 YOUNG     FEMALE      INNER_CITY    9990.11
 YOUNG       MALE      INNER_CITY    7948.62
 YOUNG       MALE            TOWN    30870.8
MIDDLE     FEMALE      INNER_CITY    12125.8
 YOUNG     FEMALE           RURAL    15348.9
   OLD       MALE      INNER_CITY    26707.9
 YOUNG     FEMALE      INNER_CITY    11604.4
MIDDLE       MALE      INNER_CITY    15499.9
MIDDLE       MALE            TOWN    33088.5
   OLD     FEMALE      INNER_CITY    34513.6
MIDDLE       MALE            TOWN    32395.5
MIDDLE       MALE           RURAL      46633
 YOUNG       MALE      INNER_CITY    13039.9
 YOUNG       MALE      INNER_CITY    12681.9
 YOUNG     FEMALE      INNER_CITY    24031.5
MIDDLE       MALE            TOWN    37330.5
 YOUNG       MALE      INNER_CITY    25333.2
   OLD     FEMALE      INNER_CITY    37094.2
MIDDLE       MALE            TOWN    33630.6
   OLD       MALE      INNER_CITY    43228.2
   OLD     FEMALE      INNER_CITY    47796.8
   OLD     FEMALE            TOWN    21730.3
 YOUNG       MALE      INNER_CITY    10044.1
MIDDLE       MALE            TOWN    17270.1
   OLD     FEMALE           RURAL      45765
MIDDLE       MALE           RURAL    29525.5
   OLD     FEMALE           RURAL    54863.8
MIDDLE     FEMALE            TOWN      20799
MIDDLE     FEMALE           RURAL    33028.3
MIDDLE       MALE           RURAL    45031.9
MIDDLE       MALE      INNER_CITY    39010.8
MIDDLE     FEMALE            TOWN    25257.7
MIDDLE     FEMALE      INNER_CITY    42603.9
MIDDLE       MALE            TOWN    14092.7
 YOUNG     FEMALE           RURAL    21350.3
MIDDLE       MALE      INNER_CITY    23246.4
   OLD       MALE           RURAL    41609.5
   OLD     FEMALE        SUBURBAN    16716.1
   OLD     FEMALE        SUBURBAN    36436.4
   OLD     FEMALE            TOWN    59503.8
   OLD     FEMALE            TOWN    31334.8
 YOUNG     FEMALE      INNER_CITY    14048.9
   OLD     FEMALE      INNER_CITY    39205.3
   OLD     FEMALE           RURAL    42173.9
   OLD     FEMALE      INNER_CITY      55263
   OLD       MALE      INNER_CITY    37095.2
MIDDLE     FEMALE      INNER_CITY    22791.4
 YOUNG     FEMALE            TOWN    17240.6
   OLD       MALE            TOWN    48974.8
 YOUNG       MALE      INNER_CITY      18923
   OLD       MALE        SUBURBAN    51204.2
 YOUNG       MALE            TOWN    20236.2
 YOUNG     FEMALE      INNER_CITY    18860.3
   OLD       MALE           RURAL    25732.5
 YOUNG     FEMALE        SUBURBAN    28240.4
   OLD       MALE           RURAL    28193.6
MIDDLE       MALE            TOWN    36432.8
   OLD       MALE            TOWN    54618.8
 YOUNG       MALE      INNER_CITY    24760.8
MIDDLE       MALE           RURAL    23356.1
 YOUNG     FEMALE        SUBURBAN    8143.75
MIDDLE       MALE            TOWN    26462.5
 YOUNG       MALE           RURAL    20467.3
   OLD     FEMALE            TOWN    21506.2
MIDDLE     FEMALE            TOWN    15315.3
 YOUNG       MALE      INNER_CITY    18875.7
MIDDLE     FEMALE      INNER_CITY    12977.2
MIDDLE     FEMALE            TOWN    20708.5
 YOUNG     FEMALE            TOWN    7549.38
MIDDLE     FEMALE      INNER_CITY      24904
 YOUNG       MALE           RURAL    24071.8
 YOUNG       MALE            TOWN    9589.91
 YOUNG       MALE      INNER_CITY    8562.86
MIDDLE     FEMALE            TOWN    26707.5
   OLD       MALE      INNER_CITY    34020.5
   OLD       MALE      INNER_CITY    49175.7
 YOUNG       MALE      INNER_CITY    19726.3
MIDDLE       MALE      INNER_CITY    24346.6
 YOUNG       MALE           RURAL    26999.4
   OLD     FEMALE            TOWN    41558.1
   OLD     FEMALE      INNER_CITY    56340.3
MIDDLE       MALE            TOWN    37558.5
MIDDLE     FEMALE      INNER_CITY    30099.3
MIDDLE       MALE      INNER_CITY    15254.8
   OLD       MALE      INNER_CITY    36086.1
 YOUNG     FEMALE      INNER_CITY      17655
   OLD       MALE           RURAL    56658.9
   OLD     FEMALE      INNER_CITY    37706.5
MIDDLE     FEMALE      INNER_CITY      18516
MIDDLE     FEMALE      INNER_CITY      29622
MIDDLE       MALE           RURAL    32669.9
 YOUNG     FEMALE      INNER_CITY    18275.5
MIDDLE     FEMALE            TOWN      34410
MIDDLE       MALE      INNER_CITY    34866.9
MIDDLE     FEMALE      INNER_CITY    21796.6
   OLD     FEMALE        SUBURBAN    63130.1
MIDDLE       MALE      INNER_CITY    14996.4
   OLD     FEMALE           RURAL    49024.9
MIDDLE       MALE      INNER_CITY    16249.8
   OLD       MALE        SUBURBAN    36192.1
   OLD       MALE      INNER_CITY    17839.9
 YOUNG     FEMALE      INNER_CITY    18802.4
   OLD       MALE      INNER_CITY    48720.3
 YOUNG       MALE      INNER_CITY    14585.9
 YOUNG     FEMALE      INNER_CITY      20819
MIDDLE       MALE            TOWN    26077.8
MIDDLE     FEMALE            TOWN    41627.1
   OLD       MALE      INNER_CITY    16977.3
MIDDLE       MALE      INNER_CITY    19012.8
 YOUNG       MALE      INNER_CITY    12764.8
 YOUNG       MALE      INNER_CITY    14388.6
   OLD       MALE      INNER_CITY    59409.1
 YOUNG     FEMALE      INNER_CITY    14960.2
   OLD       MALE      INNER_CITY    39666.6
 YOUNG       MALE      INNER_CITY    20771.9
   OLD       MALE      INNER_CITY    24474.1
   OLD       MALE            TOWN    33123.7
 YOUNG       MALE      INNER_CITY    14433.4
 YOUNG       MALE            TOWN    13175.5
 YOUNG       MALE      INNER_CITY    9824.37
 YOUNG       MALE        SUBURBAN    17610.3
 YOUNG     FEMALE        SUBURBAN    15156.2
MIDDLE     FEMALE      INNER_CITY    31774.1
MIDDLE       MALE            TOWN    31693.5
MIDDLE     FEMALE      INNER_CITY    28598.7
MIDDLE     FEMALE      INNER_CITY    26261.7
MIDDLE       MALE      INNER_CITY    42124.1
MIDDLE     FEMALE      INNER_CITY    39308.7
   OLD     FEMALE      INNER_CITY      43530
   OLD       MALE           RURAL    49874.4
MIDDLE     FEMALE           RURAL    27434.8
   OLD       MALE      INNER_CITY    50474.6
   OLD       MALE            TOWN    24888.2
MIDDLE       MALE           RURAL    28021.6
 YOUNG       MALE      INNER_CITY    12279.5
   OLD     FEMALE      INNER_CITY    30189.4
 YOUNG       MALE      INNER_CITY    28969.4
 YOUNG       MALE        SUBURBAN    14058.5
 YOUNG     FEMALE            TOWN    30404.3
   OLD     FEMALE           RURAL    41438.2
MIDDLE     FEMALE      INNER_CITY    16711.3
   OLD       MALE            TOWN    52255.9
 YOUNG     FEMALE      INNER_CITY    17866.9
 YOUNG     FEMALE           RURAL    18067.5
 YOUNG       MALE      INNER_CITY    12823.7
 YOUNG     FEMALE           RURAL    11299.3
   OLD     FEMALE      INNER_CITY    56031.1
   OLD       MALE      INNER_CITY    35263.5
 YOUNG     FEMALE      INNER_CITY    19968.1
MIDDLE       MALE           RURAL    27825.5
MIDDLE       MALE        SUBURBAN    37773.9
 YOUNG     FEMALE      INNER_CITY    7606.25
 YOUNG       MALE           RURAL    21384.4
MIDDLE       MALE            TOWN      20347
MIDDLE       MALE            TOWN    21332.3
   OLD       MALE      INNER_CITY    57671.7
MIDDLE     FEMALE            TOWN    36057.8
 YOUNG       MALE      INNER_CITY    14290.5
MIDDLE     FEMALE            TOWN    17882.9
 YOUNG     FEMALE           RURAL    10629.1
   OLD     FEMALE      INNER_CITY    24262.8
MIDDLE     FEMALE        SUBURBAN    26097.9
 YOUNG     FEMALE            TOWN      23371
MIDDLE     FEMALE            TOWN    21495.6
MIDDLE       MALE            TOWN    12166.9
 YOUNG       MALE        SUBURBAN    17180.2
MIDDLE     FEMALE            TOWN    28882.3
MIDDLE     FEMALE            TOWN    21612.2
   OLD     FEMALE      INNER_CITY    46358.4
 YOUNG       MALE      INNER_CITY      19166
 YOUNG       MALE      INNER_CITY    17921.8
   OLD       MALE            TOWN      33229
MIDDLE     FEMALE        SUBURBAN    30396.1
   OLD     FEMALE            TOWN    34625.2
 YOUNG       MALE            TOWN    16672.8
   OLD     FEMALE        SUBURBAN    60747.5
   OLD     FEMALE      INNER_CITY    56394.3
MIDDLE       MALE            TOWN    13236.4
 YOUNG       MALE      INNER_CITY    28409.4
MIDDLE     FEMALE      INNER_CITY    27056.5
 YOUNG       MALE           RURAL    9362.58
MIDDLE     FEMALE        SUBURBAN    28702.7
 YOUNG       MALE            TOWN    22366.1
   OLD     FEMALE           RURAL    24477.5
MIDDLE       MALE            TOWN    36972.4
 YOUNG       MALE      INNER_CITY    22327.8
 YOUNG     FEMALE      INNER_CITY    15610.2
